schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_favorite,away_favorite,over,team_away_current_win_pct,team_home_current_win_pct,team_home_lastseason_win_pct,team_away_lastseason_win_pct,team_home_division,team_away_division,division_game,elo_prob1,elo_prob2,result
2009-01-10,2008,19,1,CAR,13.0,33.0,ARI,CAR,-10.0,49.5,Bank of America Stadium,0,,,,,1,0,0.0,0.5625,0.75,0.4375,0.5,NFC South,NFC West,0,0.689316261,0.31068373899999996,0
2010-12-19,2010,15,0,CAR,19.0,12.0,ARI,CAR,-2.5,37.5,Bank of America Stadium,0,42.0,6.0,57,,1,0,0.0,0.3076923076923077,0.07692307692307693,0.5,0.625,NFC South,NFC West,0,0.53648283,0.46351717,1
2015-01-03,2014,18,1,CAR,27.0,16.0,ARI,CAR,-5.5,37.5,Bank of America Stadium,0,51.0,6.0,,,1,0,1.0,0.6875,0.4666666666666667,0.75,0.625,NFC South,NFC West,0,0.527892734,0.472107266,1
2016-01-24,2015,20,1,CAR,49.0,15.0,ARI,CAR,-3.0,47.5,Bank of America Stadium,0,39.0,4.0,,,1,0,1.0,0.8125,0.9375,0.4666666666666667,0.6875,NFC South,NFC West,0,0.606100017,0.39389998299999995,1
2016-10-30,2016,8,0,CAR,30.0,20.0,ARI,CAR,-2.5,45.5,Bank of America Stadium,0,80.0,4.0,,,1,0,1.0,0.5,0.16666666666666666,0.9375,0.8125,NFC South,NFC West,0,0.50770125,0.49229875,1
2001-12-15,2001,14,0,NYG,17.0,13.0,ARI,NYG,-5.0,37.5,Giants Stadium,0,51.0,22.0,65,,1,0,0.0,0.4166666666666667,0.4166666666666667,0.75,0.1875,NFC East,NFC West,0,0.763609997,0.23639000300000002,1
2005-09-11,2005,1,0,NYG,42.0,19.0,ARI,NYG,-1.5,37.5,Giants Stadium,0,70.0,10.0,53,,1,0,1.0,0.0,0.0,0.375,0.375,NFC East,NFC West,0,0.606138039,0.39386196100000004,1
2009-10-25,2009,7,0,NYG,17.0,24.0,ARI,NYG,-8.0,47.0,Giants Stadium,0,60.0,16.0,56,,1,0,0.0,0.6,0.8333333333333334,0.75,0.5625,NFC East,NFC West,0,0.6674784739999999,0.332521526,0
2014-09-14,2014,2,0,NYG,14.0,25.0,ARI,NYG,-1.0,41.5,MetLife Stadium,0,71.0,5.0,,,1,0,0.0,1.0,0.0,0.4375,0.625,NFC East,NFC West,0,0.46638268200000005,0.533617318,0
2001-12-02,2001,12,0,OAK,31.0,34.0,ARI,OAK,-13.0,44.0,Oakland Coliseum,0,54.0,23.0,84,,1,0,1.0,0.4,0.8,0.75,0.1875,AFC West,NFC West,0,0.909840732,0.090159268,0
2006-10-22,2006,7,0,OAK,22.0,9.0,ARI,ARI,-3.0,40.0,Oakland Coliseum,0,63.0,5.0,60,,0,1,0.0,0.16666666666666666,0.0,0.25,0.3125,AFC West,NFC West,0,0.509404951,0.490595049,1
